id,slug,name,metacritic,released,tba,updated,website,rating,rating_top,playtime,achievements_count,ratings_count,suggestions_count,game_series_count,reviews_count,platforms,developers,genres,publishers,esrb_rating,added_status_yet,added_status_owned,added_status_beaten,added_status_toplay,added_status_dropped,added_status_playing
101547,time-lapse,Time-Lapse,,2017-07-14,False,2019-08-28T23:25:02,,0.0,0,0,0,0,181,0,0,Web,SteamFox,Platformer,,,0,0,0,0,0,0
10155,substance-designer-6,Substance Designer 6,,2017-02-15,False,2019-01-09T12:41:06,http://www.allegorithmic.com,0.0,0,21,0,1,415,0,1,Linux||PC||macOS,Allegorithmic,,Allegorithmic,,0,10,0,0,0,0
101551,10-mississippi-itch,10 Mississippi (itch),,2018-04-26,False,2019-01-09T12:41:06,,0.0,0,0,0,0,119,0,0,PC||macOS||Web,Karina Popp,,,,0,0,0,0,0,0
101552,soulless-ray-of-hope-itch,Soulless: Ray of Hope (itch),,2016-10-21,False,2019-01-09T12:41:06,,0.0,0,0,0,0,165,0,0,PC||macOS||Linux,Meridian4,Platformer,,,0,0,0,0,0,0
101553,invasionearth,Invasion:Earth,,2017-08-13,False,2019-01-09T12:41:06,,0.0,0,0,0,0,42,0,0,Web,eoinmcg,Action,,,0,0,0,0,0,0
101554,mr-steal-yo-wifi,Mr. Steal Yo Wifi,,2018-01-28,False,2019-01-09T12:41:06,,0.0,0,0,0,0,101,0,0,PC||macOS||Linux,Pajama Llama Games,Adventure,,,0,0,0,0,0,0
101555,first-frog-in-space,First Frog in Space,,2017-05-20,False,2019-01-09T12:41:06,,0.0,0,0,0,0,60,0,0,Web,Elastiskalinjen,,,,0,0,0,0,0,0
101556,you-cant-dodge-your-feelings,You Can't Dodge Your Feelings!,,2018-04-23,False,2019-08-28T23:25:02,,0.0,0,0,0,0,8,0,0,PC||Web,Autumnotopia,,,,0,0,0,0,0,0
101557,powpow-towers,PowPow Towers,,2014-06-01,False,2019-01-09T12:41:06,,0.0,0,0,0,0,20,0,0,PC||macOS||Linux,Abrovinsch,Strategy,,,0,0,0,0,0,0
101558,mussel,Mussel,,2015-03-17,False,2019-08-28T23:25:02,,0.0,0,0,0,0,91,0,0,PC||macOS||Linux,Jonathan Whiting,Shooter,,,0,0,0,0,0,0
101559,the-intrepids-tower,The Intrepid's Tower,,2018-08-25,False,2019-08-28T23:25:02,,0.0,0,0,0,0,42,0,0,Web,Zapdexio,Platformer,,,0,0,0,0,0,0
10156,aliens-colonial-marines-collection,Aliens: Colonial Marines Collection,45,,False,2019-09-17T04:58:50,http://www.sega.com/alienscolonialmarines,2.7,3,5,60,81,686,0,82,PC,Gearbox Software,Action,SEGA,Adults Only,17,575,35,2,22,2
101560,litghtsaber,Litghtsaber,,2017-10-30,False,2019-01-09T12:41:06,,0.0,0,0,0,0,28,0,0,Web,irdumb,,,,0,0,0,0,0,0
101561,ay-pinatas-prototype,Ay Pinatas! -- Prototype,,2015-05-12,False,2019-08-28T23:25:02,,0.0,0,0,0,0,45,0,0,Web,jprogman,Action,,,0,0,0,0,0,0
101562,oillipheist,Oilliphéist,,2017-03-22,False,2019-01-09T12:41:06,,0.0,0,0,0,0,80,0,0,PC||macOS||Linux,oakreef,Action,,,0,0,0,0,0,0
101563,minor-alternative-destroyer,Minor Alternative Destroyer,,2017-04-24,False,2019-08-28T23:25:02,,0.0,0,0,0,0,117,0,0,PC||macOS||Linux||Web,Wolderado,,,,0,0,0,0,0,0
101564,acrodog,Acrodog,,2015-12-14,False,2019-01-09T12:41:06,,0.0,0,0,0,0,33,0,0,Linux||PC||macOS,dvdfu,Action,,,0,0,0,0,0,0
101565,time-to-die,Time To Die,,2018-03-12,False,2019-01-09T12:41:06,,0.0,0,0,0,0,148,0,0,PC||macOS||Linux,Darren Grey,RPG,,,0,0,0,0,0,0
101566,doktor-kales-creature-constructor,Doktor Kale's Creature Constructor,,2014-08-02,False,2019-01-09T12:41:06,,0.0,0,0,0,0,47,0,0,PC,Darkest Kale,,,,0,0,0,0,0,0
101567,proxima-b-2,Proxima B,,2016-11-08,False,2019-08-28T23:25:02,,0.0,0,0,0,0,96,0,0,Web,Second Dimension Games,Action,,,0,0,0,0,0,0
101568,total-eclipse-of-the-heart,Total Eclipse of the Heart,,2016-12-13,False,2019-08-28T23:25:02,,0.0,0,0,0,0,126,0,0,Web,Octo Studio,,,,0,0,0,0,0,0
101569,charlie-browns-basics-in-education-and-learning,Charlie Brown's Basics in Education and Learning,,2018-08-04,False,2019-01-09T12:41:06,,0.0,0,0,0,0,41,0,0,PC||macOS||Linux,bigboypadilla,Educational,,,0,0,0,0,0,0
10157,brothers-in-arms-earned-in-blood,Brothers in Arms: Earned in Blood,84,2005-10-03,False,2019-10-29T05:34:33,,3.92,4,1,0,51,484,0,51,PC||PlayStation 2||Wii,Gearbox Software,Action,Ubisoft Entertainment,,11,224,45,12,9,1
101570,my-name-is-ld-37,My Name Is LD-37,,2016-12-13,False,2019-08-28T23:25:02,,0.0,0,0,0,0,55,0,0,Web,goncalom,Adventure,,,0,0,0,0,0,0
101571,age-alpha-demo,.Age - alpha demo,,2015-07-03,False,2019-08-28T23:25:02,,0.0,0,0,0,0,179,0,0,PC||macOS||Linux,Catman87,Simulation,,,0,0,0,0,0,0
101572,therrain,Therrain,,2017-04-25,False,2019-01-09T12:41:06,,0.0,0,0,0,0,23,0,0,Web,Stuffed Wombat,Platformer,,,0,0,0,0,0,0
101573,bad-antics,Bad Antics,,2017-04-25,False,2019-01-09T12:41:06,,0.0,0,0,0,0,11,0,0,PC,jogogames,Strategy,,,0,0,0,0,0,0
101574,its-just-a-dream,It's... just a dream,,2017-03-09,False,2019-08-28T23:25:01,,0.0,0,0,0,0,41,0,0,PC,Whateverzone,RPG,,,0,0,0,0,0,0
101575,rift-knight,Rift Knight,,2016-11-09,False,2019-01-09T12:41:06,,0.0,0,0,0,0,24,0,0,Web,Second Dimension Games,Platformer,,,0,0,0,0,0,0
101576,lone-castle,Lone Castle,,2018-02-06,False,2019-01-09T12:41:06,,0.0,0,0,0,0,95,0,0,Android||Web,RBO Games,,,,0,0,0,0,0,0
